Wall time,Step,Value
1653498249.1899524,7200,-26.916175842285156
1653498250.2490897,19800,-25.762704849243164
1653498250.7265682,24750,-25.039531707763672
1653498252.8635614,47250,-23.14983367919922
1653498253.2552564,51300,-22.485458374023438
1653498253.9588296,58500,-23.55164909362793
1653498254.5440927,64800,-22.28804588317871
1653498254.9027312,68400,-23.150165557861328
1653498255.1294029,70650,-20.830459594726562
1653498256.7848613,87300,-20.17711067199707
1653498259.120357,110250,-17.159870147705078
1653498261.3282483,131850,-16.430500030517578
1653498261.656015,135000,-15.872018814086914
1653498263.3862119,151650,-16.492948532104492
1653498264.4403112,162000,-14.318792343139648
1653498265.183726,169200,-17.560659408569336
1653498265.737578,174600,-14.134513854980469
1653498267.9816453,195750,-13.654226303100586
1653498268.8282497,203850,-12.391534805297852
1653498270.0055034,215100,-13.159063339233398
1653498270.0995462,216000,-13.298971176147461
1653498274.8078523,260100,-15.651866912841797
1653498277.661246,287550,-16.78795051574707
1653498278.8637214,299250,-12.766746520996094
1653498279.6832519,306900,-13.487753868103027
1653498279.8230188,308250,-10.445369720458984
1653498280.688978,316350,-13.491669654846191
1653498280.972943,319050,-13.222716331481934
1653498281.2120168,321300,-14.31686782836914
1653498282.9760485,339300,-12.100534439086914
1653498283.3674219,343350,-12.333324432373047
1653498283.4564047,344250,-12.587657928466797
1653498283.504093,344700,-11.857610702514648
1653498285.7280204,366300,-12.255407333374023
1653498286.6742003,375300,-17.017730712890625
1653498292.8095946,434700,-12.200611114501953
1653498296.853694,473850,-13.143109321594238
1653498297.9190912,484200,-11.527408599853516
1653498299.0717223,495000,-11.981609344482422
1653498304.3894413,546750,-12.061331748962402
1653498304.6820793,549450,-18.953073501586914
1653498306.5793223,567900,-12.65616512298584
1653498307.2204041,575100,-16.353147506713867
1653498311.5966165,616050,-17.263187408447266
1653498312.0777287,620550,-12.49756908416748
1653498314.5806994,644400,-11.865367889404297
1653498316.092011,658800,-13.493254661560059
1653498319.7370794,693450,-10.016897201538086
1653498319.971954,695700,-10.334166526794434
1653498321.9189763,714150,-11.546213150024414
1653498322.7088382,721800,-13.187402725219727
1653498324.212701,735750,-12.115376472473145
1653498324.4853575,738450,-12.992339134216309
1653498324.72331,740700,-12.698660850524902
1653498325.5452585,748350,-11.963577270507812
1653498326.0226934,752400,-13.6985445022583
1653498326.2216232,754200,-11.430482864379883
1653498327.515693,766350,-10.644280433654785
1653498328.455673,775350,-10.52935791015625
1653498328.9312544,779850,-12.687682151794434
1653498329.8348992,788400,-13.625884056091309
1653498332.0508375,809100,-18.170066833496094
1653498332.760959,815850,-13.384575843811035
1653498333.6615381,824400,-9.116109848022461
1653498333.839127,826200,-10.958374977111816
1653498334.2111595,829800,-10.238090515136719
1653498334.2576087,830250,-9.901883125305176
1653498334.4525094,832050,-8.75158405303955
1653498334.7368546,834750,-11.436674118041992
1653498334.9277768,836550,-10.37699031829834
1653498335.2590978,839700,-12.883466720581055
1653498335.3504832,840600,-13.066387176513672
1653498335.7288406,844200,-14.65058708190918
1653498336.290035,849600,-16.145193099975586
1653498336.5432613,851850,-9.940250396728516
1653498336.6830144,853200,-14.444555282592773
1653498336.8798807,855000,-9.065629959106445
1653498337.2656217,858600,-6.114711761474609
1653498338.6519542,870300,-7.652662754058838
1653498338.7085686,870750,-7.332862854003906
1653498338.7636416,871200,-7.393544673919678
1653498339.209718,875250,-8.017576217651367
1653498339.5060575,877500,-7.83595609664917
1653498340.5168762,886500,-11.620795249938965
1653498341.8535693,899100,-8.480777740478516
1653498342.243674,902700,-6.064640045166016
1653498342.7766922,907200,-5.58359432220459
1653498343.9355493,916650,-7.93168830871582
1653498345.4226713,929700,-10.985821723937988
1653498346.0387318,935100,-10.296733856201172
1653498346.2760918,937350,-11.51616382598877
1653498346.7903376,942300,-7.831821918487549
1653498346.969592,944100,-7.106019020080566
1653498347.062826,945000,-9.197257995605469
1653498347.109723,945450,-11.45740032196045
1653498347.298118,947250,-9.348965644836426
1653498348.190406,955350,-5.355599880218506
1653498348.4376783,957600,-8.484249114990234
1653498348.486353,958050,-8.054574012756348
1653498349.3355932,965250,-7.721024513244629
1653498350.434086,975150,-15.017094612121582
1653498351.261465,982800,-9.618816375732422
1653498351.4997973,985050,-8.210861206054688
1653498351.914251,988650,-7.0030694007873535
1653498352.3754683,992700,-8.456515312194824
1653498353.1570222,999900,-11.64341926574707
1653498353.631695,1003950,-10.07004451751709
1653498355.2295518,1019250,-8.346573829650879
1653498355.908711,1025550,-5.902379035949707
1653498356.0943332,1027350,-4.988039970397949
1653498356.3663685,1030050,-5.428011894226074
1653498356.5077693,1031400,-6.236610412597656
1653498356.8487535,1034550,-9.965568542480469
1653498357.0358846,1036350,-8.18664836883545
1653498357.5949833,1041750,-7.285327911376953
1653498358.172132,1047150,-5.826664924621582
1653498358.3651829,1048950,-6.637157917022705
1653498358.5034869,1050300,-8.202803611755371
1653498358.8337111,1053450,-13.049873352050781
1653498359.0671747,1055700,-8.28471565246582
1653498359.3472934,1058400,-9.11697006225586
1653498359.4472954,1059300,-6.920729637145996
1653498359.4941845,1059750,-6.331860542297363
1653498360.0694857,1065150,-8.837324142456055
1653498360.3478827,1067850,-7.710894584655762
1653498360.676189,1071000,-9.1482515335083
1653498361.1019907,1075050,-6.195791244506836
1653498361.2879965,1076850,-6.471038341522217
1653498361.6159143,1080000,-4.947199821472168
1653498361.8167536,1081800,-6.099161148071289
1653498361.9104025,1082700,-6.5624775886535645
1653498361.9561708,1083150,-7.138378620147705
1653498362.0479107,1084050,-6.012754440307617
1653498362.1412868,1084950,-7.362184047698975
1653498363.1046734,1093950,-10.173356056213379
1653498363.4361365,1097100,-6.743682384490967
1653498364.269372,1104750,-8.489351272583008
1653498364.5035155,1107000,-7.575430870056152
1653498365.0290825,1111950,-6.280482292175293
1653498365.356297,1115100,-5.459076881408691
1653498367.1003087,1131750,-5.699465751647949
1653498367.3750203,1134450,-6.213882923126221
1653498367.6570048,1137150,-5.700707912445068
1653498367.8946412,1139400,-7.146922588348389
1653498367.9902194,1140300,-7.249956130981445
1653498368.3675275,1143900,-8.082816123962402
1653498368.8611386,1148400,-7.249281883239746
1653498370.0661945,1159650,-5.854678153991699
1653498370.1201906,1160100,-6.502031326293945
1653498370.21098,1161000,-6.6199750900268555
1653498370.8139887,1166850,-5.17726469039917
1653498371.0047913,1168650,-5.236513137817383
1653498371.1016228,1169550,-6.053589820861816
1653498371.5513308,1173600,-9.92211627960205
1653498371.5989523,1174050,-8.811040878295898
1653498371.8298478,1176300,-7.582883358001709
1653498372.0071487,1178100,-13.591766357421875
1653498372.0510182,1178550,-16.67091941833496
1653498372.222339,1180350,-8.473184585571289
1653498373.0212197,1188450,-8.382587432861328
1653498373.3746037,1192050,-10.022442817687988
1653498373.469075,1192950,-11.287362098693848
1653498373.5136635,1193400,-10.103017807006836
1653498374.0724437,1198800,-6.953641891479492
1653498374.119562,1199250,-7.027802467346191
1653498374.304815,1201050,-6.345521926879883
1653498374.4444275,1202400,-6.279764175415039
1653498375.1098564,1208700,-7.166172981262207
1653498375.6633492,1213650,-6.573032855987549
1653498376.1834352,1218600,-7.341957092285156
1653498376.5449786,1222200,-5.51307487487793
1653498376.5905485,1222650,-6.113303184509277
1653498376.8271644,1224900,-7.312599182128906
1653498377.0960662,1227600,-7.927975177764893
1653498377.3274546,1229850,-11.614946365356445
1653498377.508751,1231650,-8.643922805786133
1653498377.6024406,1232550,-6.766061305999756
1653498377.6976895,1233450,-11.45475959777832
1653498377.9841838,1236150,-8.388751983642578
1653498378.3747046,1239750,-7.22219181060791
1653498378.512183,1241100,-7.541301727294922
1653498378.6975477,1242900,-9.249539375305176
1653498379.1618183,1247400,-5.788161277770996
1653498379.254331,1248300,-4.947199821472168
1653498379.4348042,1250100,-9.262439727783203
1653498379.8943298,1254600,-7.382627487182617
1653498379.9401906,1255050,-7.698089599609375
1653498380.448786,1260000,-9.289667129516602
1653498380.6109998,1261350,-7.620011329650879
1653498380.7049713,1262250,-6.418571472167969
1653498380.8123415,1263150,-5.72678279876709
1653498380.9520538,1264500,-6.914533615112305
1653498381.794427,1272150,-11.330073356628418
1653498382.131415,1275300,-6.706599235534668
1653498382.3195572,1277100,-6.371028423309326
1653498382.3680499,1277550,-5.737771511077881
1653498382.9334986,1282950,-14.78995132446289
1653498383.0717275,1284300,-11.719667434692383
1653498383.3988867,1287450,-6.482693195343018
1653498383.494469,1288350,-6.4964752197265625
1653498383.5379338,1288800,-6.053097248077393
1653498383.7263732,1290600,-6.747760772705078
1653498383.9155376,1292400,-10.486656188964844
1653498384.0096352,1293300,-9.479338645935059
1653498384.3784413,1296900,-7.714230060577393
1653498384.424378,1297350,-7.58942985534668
1653498384.4687726,1297800,-6.80653715133667
1653498384.660458,1299600,-7.48696756362915
1653498384.7567422,1300500,-6.858421325683594
1653498385.314458,1305900,-8.135588645935059
1653498385.3600256,1306350,-10.653233528137207
1653498385.4508955,1307250,-10.299100875854492
1653498385.8313708,1310850,-6.5398077964782715
1653498385.88049,1311300,-7.010185718536377
1653498385.9691703,1312200,-8.900117874145508
1653498386.0621486,1313100,-6.992475509643555
1653498386.1140304,1313550,-6.2589430809021
1653498386.5283902,1317600,-10.574491500854492
1653498386.8717096,1320750,-7.7846221923828125
1653498387.153474,1323450,-4.947199821472168
1653498387.2520022,1324350,-6.096429824829102
1653498387.6329355,1327950,-7.093288421630859
1653498387.921602,1330650,-5.994961738586426
1653498388.419441,1335150,-9.7484712600708
1653498388.5135877,1336050,-12.625531196594238
1653498388.5629141,1336500,-11.825946807861328
1653498389.093365,1341450,-6.868810653686523
1653498389.1912496,1342350,-8.433415412902832
1653498389.3334112,1343700,-8.988541603088379
1653498389.5286212,1345500,-7.544605731964111
1653498390.0964625,1350900,-5.721950531005859
1653498390.775812,1357200,-8.551969528198242
1653498390.8728893,1358100,-5.257803440093994
1653498391.303459,1362150,-7.403039932250977
1653498391.349317,1362600,-6.664160251617432
1653498391.4906733,1363950,-7.1440958976745605
1653498391.5815642,1364850,-6.896055221557617
1653498392.2341821,1371150,-6.396652698516846
1653498392.4258242,1372950,-7.28432035446167
1653498392.6078014,1374750,-6.729442596435547
1653498392.8897758,1377450,-6.130825519561768
1653498392.9381325,1377900,-7.103785514831543
1653498393.0307076,1378800,-10.075785636901855
1653498393.0790117,1379250,-11.996773719787598
1653498393.1273186,1379700,-14.347687721252441
1653498393.264856,1381050,-9.586718559265137
1653498393.5195873,1383300,-9.238066673278809
1653498393.8530264,1386450,-5.259470462799072
1653498394.0987716,1388700,-5.159120559692383
1653498394.236834,1390050,-6.2041707038879395
1653498394.5671911,1393200,-7.244146347045898
1653498394.6161077,1393650,-7.043290138244629
1653498395.1498828,1398600,-5.037140369415283
1653498395.2931695,1399950,-5.255530834197998
1653498395.436505,1401300,-5.83142614364624
1653498395.5321786,1402200,-7.2605485916137695
1653498395.5824463,1402650,-7.2605485916137695
1653498395.8351216,1404900,-5.671034812927246
1653498395.8823075,1405350,-5.426311016082764
1653498396.1744912,1408050,-6.54614782333374
1653498396.3609738,1409850,-6.734622001647949
1653498396.8259382,1414350,-6.8494720458984375
1653498396.8709638,1414800,-6.724270343780518
1653498397.0134127,1416150,-7.32416296005249
1653498397.1467273,1417500,-8.126652717590332
1653498397.1917741,1417950,-7.044181823730469
1653498397.6043897,1422000,-8.419809341430664
1653498397.6500993,1422450,-10.629740715026855
1653498397.7445269,1423350,-12.319360733032227
1653498397.9853783,1425600,-6.057889938354492
1653498398.1743953,1427400,-6.639533519744873
1653498398.2711058,1428300,-6.711469650268555
1653498398.3641732,1429200,-5.6362528800964355
1653498398.6043699,1431450,-6.4089531898498535
1653498398.8440742,1433700,-8.752543449401855
1653498399.1434302,1436400,-5.659990310668945
1653498399.1923642,1436850,-5.659990310668945
1653498399.3321748,1438200,-7.046748638153076
1653498399.4263916,1439100,-6.937718391418457
1653498399.6597166,1441350,-7.25345516204834
1653498399.8446052,1443150,-5.927874565124512
1653498399.9334478,1444050,-5.58983850479126
1653498400.170566,1446300,-5.375432968139648
1653498400.2164776,1446750,-6.481124401092529
1653498400.2607503,1447200,-6.197447299957275
1653498400.3572123,1448100,-6.499926567077637
1653498400.631843,1450800,-6.7849812507629395
1653498400.911219,1453500,-5.530796051025391
1653498401.0583873,1454850,-5.499050140380859
1653498401.1097257,1455300,-7.298125267028809
1653498401.161462,1455750,-7.134913444519043
1653498401.405159,1458000,-7.686973571777344
1653498401.594201,1459800,-7.227314472198486
1653498401.6871347,1460700,-8.072129249572754
1653498401.8241382,1462050,-6.749360084533691
1653498401.8736806,1462500,-6.348879814147949
1653498402.1559782,1465200,-9.20251178741455
1653498402.2502024,1466100,-11.23282241821289
1653498402.3901074,1467450,-5.859594345092773
1653498402.4852953,1468350,-5.6709442138671875
1653498402.5301423,1468800,-6.790866851806641
1653498402.6250114,1469700,-9.092830657958984
1653498402.7161565,1470600,-7.85768985748291
1653498402.901683,1472400,-7.159086227416992
1653498402.9495068,1472850,-7.130032062530518
1653498402.998683,1473300,-6.993137836456299
1653498403.1939743,1475100,-9.10157585144043
1653498403.2419357,1475550,-10.229100227355957
1653498403.286024,1476000,-9.935891151428223
1653498403.4709141,1477800,-6.0795512199401855
1653498403.7049887,1480050,-9.156049728393555
1653498403.7986045,1480950,-11.400293350219727
1653498403.9403956,1482300,-8.310420989990234
1653498404.132549,1484100,-12.308731079101562
1653498404.2326632,1485000,-6.719558238983154
1653498404.2814722,1485450,-5.323609352111816
1653498404.4685996,1487250,-5.801362037658691
1653498404.6063042,1488600,-8.426460266113281
1653498404.7024975,1489500,-9.320493698120117
1653498404.7945712,1490400,-7.287545204162598
1653498404.842051,1490850,-7.071285724639893
1653498404.8951755,1491300,-6.856541633605957
1653498405.034028,1492650,-8.528212547302246
1653498405.0834942,1493100,-10.178617477416992
1653498405.2241378,1494450,-7.970156669616699
1653498405.2746553,1494900,-6.904165267944336
1653498405.3692837,1495800,-5.798180103302002
1653498405.4165246,1496250,-5.239743232727051
1653498405.5074644,1497150,-8.839111328125
1653498405.551067,1497600,-8.964631080627441
1653498405.6909394,1498950,-7.897913932800293
1653498405.8352795,1500300,-6.705610752105713
1653498405.9281497,1501200,-8.51688003540039
1653498406.0721927,1502550,-6.112648963928223
1653498406.1693964,1503450,-6.848665714263916
1653498406.264205,1504350,-5.84073543548584
1653498406.3092961,1504800,-6.436042785644531
1653498406.4496093,1506150,-7.128815174102783
1653498406.6376204,1507950,-7.717668533325195
1653498406.6823015,1508400,-7.347989082336426
1653498406.7782228,1509300,-6.5248494148254395
1653498407.1705918,1512900,-6.5157151222229
1653498407.2650683,1513800,-5.731058120727539
1653498407.365515,1514700,-7.472677707672119
1653498407.460383,1515600,-6.091120719909668
1653498407.510655,1516050,-5.697575569152832
1653498407.6530473,1517400,-9.067119598388672
1653498407.6985183,1517850,-7.443333625793457
1653498408.2161407,1522800,-7.578670024871826
1653498408.3124185,1523700,-7.184905052185059
1653498408.4499838,1525050,-5.970348358154297
1653498408.5889406,1526400,-7.832369804382324
1653498408.9687138,1530000,-7.9788432121276855
1653498409.0669332,1530900,-7.922797679901123
1653498409.2562065,1532700,-7.187366008758545
1653498409.302204,1533150,-6.9322590827941895
1653498409.3460531,1533600,-6.250483989715576
1653498409.6906826,1536750,-8.145681381225586
1653498410.1567473,1540800,-8.230521202087402
1653498410.2062526,1541250,-6.969945430755615
1653498410.256102,1541700,-7.548943042755127
1653498410.3076982,1542150,-6.954806327819824
1653498410.3519766,1542600,-7.708497524261475
1653498410.6466658,1545300,-4.947199821472168
1653498410.8362415,1547100,-6.606396675109863
1653498411.2172844,1550700,-8.399086952209473
1653498411.3097928,1551600,-7.829075336456299
1653498411.4584997,1552950,-5.407431125640869
1653498411.5044808,1553400,-5.942054748535156
1653498411.7421663,1555650,-6.375033855438232
1653498411.8385677,1556550,-5.225661277770996
1653498411.8829346,1557000,-6.113581657409668
1653498412.219039,1560150,-6.80180025100708
1653498412.2644923,1560600,-7.082216262817383
1653498412.310635,1561050,-6.144464492797852
1653498412.3590913,1561500,-8.592876434326172
1653498412.4053867,1561950,-7.965573310852051
1653498412.8816922,1566450,-6.964207649230957
1653498412.9340029,1566900,-6.360986232757568
1653498413.0727074,1568250,-9.666736602783203
1653498413.1224012,1568700,-8.747623443603516
1653498413.1705327,1569150,-8.213468551635742
1653498413.4535341,1571850,-7.468932151794434
1653498413.5921552,1573200,-6.781455039978027
1653498413.6404452,1573650,-6.65482234954834
1653498413.9322925,1576350,-5.635921478271484
1653498414.0729146,1577700,-6.809973239898682
1653498414.1200469,1578150,-7.824199676513672
1653498414.3508687,1580400,-6.908649921417236
1653498414.3981836,1580850,-8.448515892028809
1653498414.4971814,1581750,-6.844619274139404
1653498414.5404158,1582200,-5.469691753387451
1653498414.837662,1584900,-6.702452182769775
1653498414.8839145,1585350,-6.702452182769775
1653498414.9741771,1586250,-5.180564880371094
1653498415.1201794,1587600,-6.441600799560547
1653498415.1659493,1588050,-8.203193664550781
